"municipio","codEstacao","uf","nomeEstacao","latitude","longitude","datahora","valorMedida","geometry"
"BOA ESPERANÇA","310710901A","MG","Centro","-21.09254","-45.56297","2023-01-01 00:10:00.0","0,20","POINT (-45.56297 -21.09254)"
"CARMO DE MINAS","311410501A","MG","Centro","-22.1204","-45.13472","2023-01-01 00:00:00.0","0,00","POINT (-45.13472 -22.1204)"
"GUAXUPÉ","312870901A","MG","Centro","-21.309761","-46.716297","2023-01-01 00:10:00.0","0,00","POINT (-46.716297 -21.309761)"
"ITAJUBÁ","313240401A","MG","Estiva","-22.412335","-45.435862","2023-01-01 00:00:00.0","0,00","POINT (-45.435862 -22.412335)"
"ITAMONTE","313300601A","MG","Centro","-22.28407","-44.86765","2023-01-01 00:10:00.0","0,00","POINT (-44.86765 -22.28407)"
"ITAPEVA","313360001A","MG","Distrito de Areias","-22.706","-46.196","2023-01-01 00:20:00.0","0,00","POINT (-46.196 -22.706)"
"PASSA-VINTE","314780801A","MG","Tebas","-22.2106","-44.23762","2023-01-01 00:20:00.0","0,00","POINT (-44.23762 -22.2106)"
"PASSOS","314790701A","MG","Exposição","-20.7347","-46.60611","2023-01-01 00:50:00.0","0,00","POINT (-46.60611 -20.7347)"
"POÇOS DE CALDAS","315180001A","MG","Parque Véu das Noivas","-21.777419","-46.619238","2023-01-01 00:20:00.0","0,00","POINT (-46.619238 -21.777419)"
"POUSO ALEGRE","315250101A","MG","Aeoroporto","-22.288","-45.92","2023-01-01 00:30:00.0","0,20","POINT (-45.92 -22.288)"
"SÃO JOÃO DA MATA","316230201A","MG","Centro","-21.93452","-45.93269","2023-01-01 00:40:00.0","0,00","POINT (-45.93269 -21.93452)"
"TRÊS CORAÇÕES","316930701A","MG","Jardim América","-21.67047","-45.26846","2023-01-01 00:50:00.0","0,00","POINT (-45.26846 -21.67047)"
